ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Orig_Analyzed_Word,Orig_Gloss,Orig_Translated_Text,Source
car-24,car,wïtëe rehe,wɨ-tə-e=rehe,1-go-NPST=FRUST,I almost go (but I am not going to go).,,,wɨ-tə-∅-∅-e=rehe,1.So-go-NFUT-MIN-IPFV=FRST,,guerrero2016karihona[5]
car-18,car,ëyiwae yehï,əji-wa-e	j-eh-ɨ,2-search-SUP	1-come-PFV,I came looking for you.,,,əʤi-wa-e ʤɨ-eh-ɨ,2.O-search-IPFV 1.Sa-come-PFV,Vine a buscarlo.,guerrero2019carijo[101]
hix-118,hix,roxehra nay hamà Kaywerye àkekonà,ro-ʃe-hɨra	n-a-je	hamɨ	kajwerʲe	ɨ-ka-jakonɨ,1-DES-NEG	3-be-NPST.UNCERT	EVID	K.	1SA-say-REM.CONT,"I said (to myself), “Kaywerye evidently doesn't like me”.",,,,not-liking-me he-is DEDUCT Kaywerye I-said-it,,hixkaryanaderby1985[124]
hix-17,hix,àkorokano,ɨ-koroka-no,1>3-wash-IMM,I washed him.,,,ɨ-koroka-no,ISIIIO-wash-IMM.PAST,I washed him,hixkaryanaderby1985[191]
hix-119,hix,"onà wyaro nkekonà bàryekomo, tàyonà wya",onɨ	wjaro	n-ka-jakonɨ	bɨrʲekomo	tɨ-jonɨ	wja,this	like	3-say-REM.CONT	boy	COR-mother	OBL,This is what the boy said to his mother.,,,,this like he-said-it boy his-mother to,,hixkaryanaderby1985[36]
kar-60,kar,miku:piya,mi-kupi-ja,2>3-bathe-PRS,You bathe him/her.,,,,,you bath him,hoff1968carib[160]
kar-61,kar,aya:woiya,aj-awomɨ-ja,2SP-get.up-PRS,You are getting up.,,Syllable reduction and assimilation of ‘to fly’?,,,you are getting up,hoff1968carib[167]
ikp-167,ikp,Atxagotpop iptxi ikgwaktxi,at͡ʃagotpop	Ø-ip-t͡ʃi	ik-gwa-kt͡ʃi,always	1-bathe-NPST	river-LOC.aquatic-ALL,I always bathe in this river.,,,Atxagotpop i-p-txi ik-gwaktxi,sempre:ADV 1S-banhar-NPAS rio-LOC,Eu me banho sempre nesse rio,ikpengpacheco1997[68]
ikp-169,ikp,etxilï,Ø-et͡ʃi-lɨ,1-be-REC,I was.,,,,,eu fiquei,ikpengpacheco2001[139]
ikp-168,ikp,ïgelï,ɨ-ge-lɨ,1-say-REC,I said.,,Extracted from larger example.,,,,ikpengpacheco2001[209]
ikp-170,ikp,karantxi,k-aran-t͡ʃi,1-go-NPST,I'm going.,,,k-aran-tʃi,1Sa-ir-CONT PART,eu vou,ikpengpacheco2001[80]
car-30,car,hïnëhtonoko marë yehïnëhïyai,hɨnəhtono-ko=marə	j-e-hɨnəhɨ-jai,enemy-PL=with	1-DETRZ-kill-NPST.CERT,I fight with the enemies.,,,hẹnẹ(x)tónoko-mā́ɽẹ y-e̱-hẹnẹ́(x)yai̯,Feinde mit ich kämpfe,ich kämpfe mit den Feinden.,koch1908hiana[79]
aku-154,aku,mïka,mɨ-ka,2-say,You said.,,you have said,,,,meira1998proto[113]
aku-159,aku,kë'eepï,kəʔ-eepɨ,1+2-come,We came.,,we have come,,kəʔ-e:pɨ,,meira1998proto[114]
bak-33,bak,widâ,w-i-də,1SA-bathe-IMM,I bathed,,,,,Eu tomei banho.,meira2003bakairi[4]
yuk-14,yuk,aw yewtu,aw	j-ewtu,1PRO	1-go.down,I went down.,,,aw y-éwtu,,bajé,meira2003primeras[]
yuk-5,yuk,aw yesare,aw	j-esare,1PRO	3>1-see,S/he saw me.,,,aw y-ésare,,he saw me,meira2006syntactic[139]
yuk-1,yuk,aw esare,aw	Ø-esare,1PRO	1>3-see,I saw it.,,,aw ésare,,I saw it,meira2006syntactic[139]
yuk-7,yuk,aw to,aw	Ø-to,1PRO	1SA-go,I went.,,,aw to,,I went,meira2006syntactic[139]
car-33,car,dëmëmara kae ëwï iya,n-təmə=mara	∅-ka-e	əwɨ	i-ja,3-go=DUB	1-say-NPST.CERT	1PRO	3-OBL,"“Did s/he leave?”, I say to him.",,,dë-më=mara ka-e ëwï i-ya,ir-PST=DOUBT decir-IPFV 1.MIN 3-ALLAT,'¿Será que se fue? le dije a él.',pc[David Felipe Guerrero-Beltran]
car-32,car,irë wachinakano tae yehïtëe,irə	wat͡ʃinakano	tae	j-ehɨtə-e,INAN.ANA	body.of.water	along.bounded	1-go.down-NPST,…I go down through that guachinacán.,,,,,,pc[David Felipe Guerrero]
mivida-12,car,iretibë echinëme gërë yechiï,ireti-bə	et͡ʃi-nə=me	gərə	j-et͡ʃi-ɨ,then-from	be-INF=ATTRZ	still	1-be-PFV,Then I was already grown up.,,,ireti-bə eʧi-nə-me gərə ʤi-eʧi-ɨ,después-SEPARACIÓN/salir-RESULT-ATRIBUT/todavia/1ᵃP.SING-salir-PERFECTIVO,"Después, ya quedé crecido.",robayo2000avance[177]
tri-51,tri,tëturu,t-əturu,1SA-talk,I talked.,,,t-ëturu,,,triomeira1999[292]
tri-136,tri,sepï,s-epɨ,1SA-bathe,I bathed.,,,s-epï,,,triomeira1999[292]
tri-52,tri,wïtën,wɨ-tən,1SA-go,I went.,,,w-ïtën,,,triomeira1999[292]
tri-137,tri,tëënïkï,t-əənɨkɨ,1SA-sleep,I slept.,,,t-ëënïkï,,,triomeira1999[294]
bak-3,bak,ugepa,u-ge-pa,1-say-NEG,I don't say.,,,u-ɣépa,,,von1892bakairi[131]
bak-6,bak,kytagyhe,k-ɨtagɨ-he,1-go.down-NPST,I went down.,,,kχ-itaké-he,,ich steige hinab,von1892bakairi[137]
bak-2,bak,utâ,u-tə,1-go,I go.,,,ū́ta / uúta,,ich gehe,von1892bakairi[374]
bak-5,bak,witaki,w-i-taki,1-be-INT,I was.,,,wi-táki / wi-táɣi,,(ich) bin gewesen,von1892bakairi[397]
bak-4,bak,kâewyly,k-əewɨ-lɨ,1-come-IMM,I came.,,,kχ-aewí-le,,,von1892bakairi[76]
wai-159,wai,wîyesî,wɨ-jo-jasɨ,1>3-boil-NPST,I will boil it.,,,wî-y-e-sî,1S-boil-SF-INP,,waiwaihawkins1998[192]
wai-108,wai,wîîkekn̂e,wɨ-ka-jakɲe,1-say-PST,I said.,,Extracted from larger example.,wîî-k-e-kn̂e,1S-say-SF-UP,,waiwaihawkins1998[71]
way-73,way,ïwïptëë,ɨ-w-ɨptə-rɨ,1-SA-go.down-NMLZ,my going down,,,ï-w-ïptëë,,My going down.,wayanatavares2005[200]
way-71,way,ëwïptëk,əw-ɨptə-k,2-go.down-IMP,Go down!,,,ëw-ïptë-k,,Get down!,wayanatavares2005[200]
kar-62,kar,Akupija.,a-kupi-ja,3>2-bathe-PRS,S/he bathes you.,,,a-kupi-ja,3A2O-see-Prs.Tns,S/he bathes you.,yamada2011evidentiality[63]
